ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval,411,KM.TXT,0.17391,0.04762,0.07477,1
,,,,,,
ROUGE-1+StopWordRemoval,411,KM.TXT,0.33333,0.07477,0.12214,1
,,,,,,
ROUGE-2+StopWordRemoval,411,KM.TXT,0.09091,0.01887,0.03125,1
,,,,,,
ROUGE-L+StopWordRemoval,412,KM.TXT,0.30556,0.1134,0.16541,1
,,,,,,
ROUGE-1+StopWordRemoval,412,KM.TXT,0.48649,0.14876,0.22785,1
,,,,,,
ROUGE-2+StopWordRemoval,412,KM.TXT,0.14286,0.04167,0.06452,1
,,,,,,
ROUGE-L+StopWordRemoval,413,KM.TXT,0.125,0.05263,0.07407,1
,,,,,,
ROUGE-1+StopWordRemoval,413,KM.TXT,0.21277,0.09524,0.13158,1
,,,,,,
ROUGE-2+StopWordRemoval,413,KM.TXT,0.04444,0.01923,0.02685,1
,,,,,,
ROUGE-L+StopWordRemoval,414,KM.TXT,0.47059,0.19048,0.27119,1
,,,,,,
ROUGE-1+StopWordRemoval,414,KM.TXT,0.65789,0.23148,0.34247,1
,,,,,,
ROUGE-2+StopWordRemoval,414,KM.TXT,0.5,0.16822,0.25175,1
,,,,,,
ROUGE-L+StopWordRemoval,415,KM.TXT,0.15625,0.06579,0.09259,1
,,,,,,
ROUGE-1+StopWordRemoval,415,KM.TXT,0.3125,0.10753,0.16,1
,,,,,,
ROUGE-2+StopWordRemoval,415,KM.TXT,0.06667,0.02174,0.03279,1
,,,,,,
ROUGE-L+StopWordRemoval,416,KM.TXT,0.58974,0.18548,0.28221,1
,,,,,,
ROUGE-1+StopWordRemoval,416,KM.TXT,0.63043,0.14286,0.23293,1
,,,,,,
ROUGE-2+StopWordRemoval,416,KM.TXT,0.43182,0.09406,0.15447,1
,,,,,,
ROUGE-L+StopWordRemoval,417,KM.TXT,0.14706,0.05263,0.07752,1
,,,,,,
ROUGE-1+StopWordRemoval,417,KM.TXT,0.375,0.12712,0.18987,1
,,,,,,
ROUGE-2+StopWordRemoval,417,KM.TXT,0.02632,0.00855,0.0129,1
,,,,,,
ROUGE-L+StopWordRemoval,418,KM.TXT,0.24,0.06316,0.1,1
,,,,,,
ROUGE-1+StopWordRemoval,418,KM.TXT,0.46154,0.10345,0.16901,1
,,,,,,
ROUGE-2+StopWordRemoval,418,KM.TXT,0.125,0.02609,0.04317,1
,,,,,,
ROUGE-L+StopWordRemoval,419,KM.TXT,0.36111,0.1625,0.22414,1
,,,,,,
ROUGE-1+StopWordRemoval,419,KM.TXT,0.54054,0.21739,0.31008,1
,,,,,,
ROUGE-2+StopWordRemoval,419,KM.TXT,0.28571,0.10989,0.15873,1
,,,,,,
ROUGE-L+StopWordRemoval,420,KM.TXT,0.26471,0.08257,0.12587,1
,,,,,,
ROUGE-1+StopWordRemoval,420,KM.TXT,0.55,0.13665,0.21891,1
,,,,,,
ROUGE-2+StopWordRemoval,420,KM.TXT,0.15789,0.0375,0.06061,1
,,,,,,
ROUGE-L+StopWordRemoval,300,KM.TXT,0.18519,0.05208,0.0813,1
,,,,,,
ROUGE-1+StopWordRemoval,300,KM.TXT,0.41379,0.09756,0.15789,1
,,,,,,
ROUGE-2+StopWordRemoval,300,KM.TXT,0.11111,0.02459,0.04027,1
,,,,,,
ROUGE-L+StopWordRemoval,421,KM.TXT,0.4,0.13483,0.20168,1
,,,,,,
ROUGE-1+StopWordRemoval,421,KM.TXT,0.625,0.17857,0.27778,1
,,,,,,
